id;contributors;day;score;temperature_deviation;temperature_trend_deviation;timestamp
68e4e526-7bde-4642-b522-34129abc3476;"{""activity_balance"": 93, ""body_temperature"": 95, ""hrv_balance"": null, ""previous_day_activity"": 100, ""previous_night"": 64, ""recovery_index"": 78, ""resting_heart_rate"": 94, ""sleep_balance"": null, ""sleep_regularity"": null}";2026-01-16;85;0.2;;2026-01-16T00:00:00.000+00:00
bd0200b9-ad07-4f2e-ab28-c5d03f9c3232;"{""activity_balance"": 74, ""body_temperature"": 71, ""hrv_balance"": null, ""previous_day_activity"": 81, ""previous_night"": 95, ""recovery_index"": 46, ""resting_heart_rate"": 84, ""sleep_balance"": null, ""sleep_regularity"": null}";2026-01-17;76;0.62;0.41;2026-01-17T00:00:00.000+00:00
9e1678a7-b049-460c-8814-3534346509ec;"{""activity_balance"": 83, ""body_temperature"": 100, ""hrv_balance"": null, ""previous_day_activity"": 75, ""previous_night"": 86, ""recovery_index"": 92, ""resting_heart_rate"": 91, ""sleep_balance"": null, ""sleep_regularity"": null}";2026-01-18;86;-0.01;0.19;2026-01-18T00:00:00.000+00:00
4ee8488b-0a99-468a-8fef-4feffe4b210f;"{""activity_balance"": 95, ""body_temperature"": 100, ""hrv_balance"": null, ""previous_day_activity"": 87, ""previous_night"": 60, ""recovery_index"": 100, ""resting_heart_rate"": 92, ""sleep_balance"": 56, ""sleep_regularity"": null}";2026-01-19;79;-0.18;0.2;2026-01-19T00:00:00.000+00:00
c9c46310-201c-472d-8021-70484f7883ad;"{""activity_balance"": 82, ""body_temperature"": 99, ""hrv_balance"": null, ""previous_day_activity"": 74, ""previous_night"": 71, ""recovery_index"": 100, ""resting_heart_rate"": 98, ""sleep_balance"": 70, ""sleep_regularity"": null}";2026-01-20;82;-0.23;0.22;2026-01-20T00:00:00.000+00:00
d4de48b7-9217-4f77-8e9e-ddd967be9904;"{""activity_balance"": 93, ""body_temperature"": 99, ""hrv_balance"": null, ""previous_day_activity"": 86, ""previous_night"": 83, ""recovery_index"": 82, ""resting_heart_rate"": 100, ""sleep_balance"": 73, ""sleep_regularity"": null}";2026-01-21;86;0.09;0.05;2026-01-21T00:00:00.000+00:00
0c5ccb44-2e8f-4319-a1a9-98379742757a;"{""activity_balance"": 85, ""body_temperature"": 86, ""hrv_balance"": 69, ""previous_day_activity"": 88, ""previous_night"": 87, ""recovery_index"": 100, ""resting_heart_rate"": 75, ""sleep_balance"": 70, ""sleep_regularity"": null}";2026-01-22;81;0.27;0.05;2026-01-22T00:00:00.000+00:00
3bd4450f-55bc-4f82-9226-4d6fbb16d8c7;"{""activity_balance"": 86, ""body_temperature"": 88, ""hrv_balance"": 71, ""previous_day_activity"": 79, ""previous_night"": 48, ""recovery_index"": 94, ""resting_heart_rate"": 83, ""sleep_balance"": 64, ""sleep_regularity"": null}";2026-01-23;73;0.23;0.09;2026-01-23T00:00:00.000+00:00
5e183069-de48-43f8-818c-3d855027493b;"{""activity_balance"": 88, ""body_temperature"": 88, ""hrv_balance"": 79, ""previous_day_activity"": 88, ""previous_night"": 95, ""recovery_index"": 94, ""resting_heart_rate"": 100, ""sleep_balance"": 80, ""sleep_regularity"": null}";2026-01-24;89;0.22;0.26;2026-01-24T00:00:00.000+00:00
e6c89e3d-a6a5-49c7-b4c2-beb2f457bbf6;"{""activity_balance"": 83, ""body_temperature"": 86, ""hrv_balance"": 68, ""previous_day_activity"": 50, ""previous_night"": 64, ""recovery_index"": 53, ""resting_heart_rate"": 58, ""sleep_balance"": 68, ""sleep_regularity"": null}";2026-01-25;64;0.24;0.27;2026-01-25T00:00:00.000+00:00
21d80dee-1eed-410b-bdfa-71b440a05c30;"{""activity_balance"": 86, ""body_temperature"": 99, ""hrv_balance"": 73, ""previous_day_activity"": 69, ""previous_night"": 100, ""recovery_index"": 52, ""resting_heart_rate"": 92, ""sleep_balance"": 76, ""sleep_regularity"": null}";2026-01-26;80;0.08;0.2;2026-01-26T00:00:00.000+00:00
d170240a-7219-401e-8f10-e3dd226a0dcb;"{""activity_balance"": 88, ""body_temperature"": 100, ""hrv_balance"": 69, ""previous_day_activity"": 72, ""previous_night"": 52, ""recovery_index"": 90, ""resting_heart_rate"": 92, ""sleep_balance"": 68, ""sleep_regularity"": null}";2026-01-27;75;-0.1;0.14;2026-01-27T00:00:00.000+00:00
5780dfa9-d734-4646-b465-95b3e1daae0a;"{""activity_balance"": 92, ""body_temperature"": 89, ""hrv_balance"": 69, ""previous_day_activity"": 89, ""previous_night"": 64, ""recovery_index"": 99, ""resting_heart_rate"": 74, ""sleep_balance"": 79, ""sleep_regularity"": null}";2026-01-28;79;0.2;0.23;2026-01-28T00:00:00.000+00:00
f0a3839b-c6f6-486f-8625-a13fc86035ea;"{""activity_balance"": 81, ""body_temperature"": 98, ""hrv_balance"": 67, ""previous_day_activity"": 88, ""previous_night"": 100, ""recovery_index"": 52, ""resting_heart_rate"": 100, ""sleep_balance"": 76, ""sleep_regularity"": null}";2026-01-29;82;0.09;0.08;2026-01-29T00:00:00.000+00:00
06acdb6a-15a7-4e69-91b0-6cea2a4ec866;"{""activity_balance"": 91, ""body_temperature"": 95, ""hrv_balance"": 73, ""previous_day_activity"": 73, ""previous_night"": 62, ""recovery_index"": 57, ""resting_heart_rate"": 90, ""sleep_balance"": 62, ""sleep_regularity"": 84}";2026-01-30;74;-0.29;-0.06;2026-01-30T00:00:00.000+00:00
776fc928-05d3-46dc-9594-1095d5476842;"{""activity_balance"": 91, ""body_temperature"": 97, ""hrv_balance"": 73, ""previous_day_activity"": 87, ""previous_night"": 91, ""recovery_index"": 71, ""resting_heart_rate"": 100, ""sleep_balance"": 79, ""sleep_regularity"": 84}";2026-01-31;85;0.1;0.18;2026-01-31T00:00:00.000+00:00
c3d34596-4e70-4211-bd8b-0e7bca50f401;"{""activity_balance"": 89, ""body_temperature"": 92, ""hrv_balance"": 78, ""previous_day_activity"": 76, ""previous_night"": 57, ""recovery_index"": 39, ""resting_heart_rate"": 98, ""sleep_balance"": 54, ""sleep_regularity"": 84}";2026-02-01;72;-0.39;-0.12;2026-02-01T00:00:00.000+00:00
abb8bd53-6d68-4df4-a41b-e39b30f25b60;"{""activity_balance"": 92, ""body_temperature"": 97, ""hrv_balance"": 83, ""previous_day_activity"": 79, ""previous_night"": 82, ""recovery_index"": 84, ""resting_heart_rate"": 100, ""sleep_balance"": 69, ""sleep_regularity"": 84}";2026-02-02;84;0.1;0.0;2026-02-02T00:00:00.000+00:00
d1bbf799-8a0e-4a4d-ac37-e8e5017f6e38;"{""activity_balance"": 95, ""body_temperature"": 90, ""hrv_balance"": 80, ""previous_day_activity"": 91, ""previous_night"": 77, ""recovery_index"": 88, ""resting_heart_rate"": 100, ""sleep_balance"": 60, ""sleep_regularity"": 84}";2026-02-03;83;0.19;0.08;2026-02-03T00:00:00.000+00:00
6b5846b0-b32c-47e2-a947-c3ef8945d286;"{""activity_balance"": 91, ""body_temperature"": 99, ""hrv_balance"": 87, ""previous_day_activity"": 84, ""previous_night"": 92, ""recovery_index"": 100, ""resting_heart_rate"": 96, ""sleep_balance"": 62, ""sleep_regularity"": 84}";2026-02-04;86;-0.17;-0.15;2026-02-04T00:00:00.000+00:00
40c131a9-1a8f-4f2f-93d6-0f7bd8b6f607;"{""activity_balance"": 92, ""body_temperature"": 92, ""hrv_balance"": 80, ""previous_day_activity"": 84, ""previous_night"": 84, ""recovery_index"": 53, ""resting_heart_rate"": 96, ""sleep_balance"": 59, ""sleep_regularity"": 84}";2026-02-05;79;0.17;0.19;2026-02-05T00:00:00.000+00:00
ff0e5531-84d6-4919-9a9e-2f190f547cb1;"{""activity_balance"": 87, ""body_temperature"": 97, ""hrv_balance"": 88, ""previous_day_activity"": 72, ""previous_night"": 83, ""recovery_index"": 2, ""resting_heart_rate"": 100, ""sleep_balance"": 67, ""sleep_regularity"": 84}";2026-02-06;75;-0.24;0.01;2026-02-06T00:00:00.000+00:00
c5bcd9b4-c809-46f4-86a4-b59d7ea2cc54;"{""activity_balance"": 95, ""body_temperature"": 97, ""hrv_balance"": 87, ""previous_day_activity"": 82, ""previous_night"": 83, ""recovery_index"": 86, ""resting_heart_rate"": 98, ""sleep_balance"": 67, ""sleep_regularity"": 84}";2026-02-07;85;-0.23;-0.02;2026-02-07T00:00:00.000+00:00
8a4c9783-fc38-4001-b17e-4e6e809b3d85;"{""activity_balance"": 90, ""body_temperature"": 100, ""hrv_balance"": 87, ""previous_day_activity"": 91, ""previous_night"": 87, ""recovery_index"": 59, ""resting_heart_rate"": 100, ""sleep_balance"": 67, ""sleep_regularity"": 84}";2026-02-08;84;-0.15;0.02;2026-02-08T00:00:00.000+00:00
