id;contributors;day;level
a6f6f458-7ee6-4985-990f-0594b12066b4;"{""daytime_recovery"": 73.9, ""sleep_recovery"": 52.0, ""stress"": 13.8}";2026-02-01;solid
a46ee91c-c050-4a02-8edf-3595510de7d6;"{""daytime_recovery"": 74.3, ""sleep_recovery"": 55.7, ""stress"": 13.4}";2026-02-02;solid
0b90c538-5ac1-4b62-ab5b-26237ce70a72;"{""daytime_recovery"": 75.6, ""sleep_recovery"": 57.9, ""stress"": 13.3}";2026-02-03;solid
c4401a53-d226-4a99-9899-dc6df88d7108;"{""daytime_recovery"": 75.0, ""sleep_recovery"": 62.1, ""stress"": 13.3}";2026-02-04;solid
1c0c80cd-491d-4bf2-b4c5-61fc3aeb21ea;"{""daytime_recovery"": 73.1, ""sleep_recovery"": 61.3, ""stress"": 14.9}";2026-02-05;solid
848f1472-838c-4a70-8389-5992e5ca040b;"{""daytime_recovery"": 73.4, ""sleep_recovery"": 58.8, ""stress"": 14.9}";2026-02-06;solid
533c7d9c-bf1f-4491-a335-4f563aae2743;"{""daytime_recovery"": 74.3, ""sleep_recovery"": 60.6, ""stress"": 14.2}";2026-02-07;solid
e8311773-390b-4fe6-9110-607fd6722fca;"{""daytime_recovery"": 70.8, ""sleep_recovery"": 61.1, ""stress"": 18.3}";2026-02-08;solid
bad9d032-afcd-4ae0-83c2-f61da731e5fa;"{""daytime_recovery"": 70.1, ""sleep_recovery"": 60.4, ""stress"": 18.4}";2026-02-09;solid
d041adc9-f5a0-4d0f-81c6-01a0bb70cd7e;"{""daytime_recovery"": 69.7, ""sleep_recovery"": 61.6, ""stress"": 18.5}";2026-02-10;solid
68dc0835-dcb9-4d05-8ca4-90be9674de3f;"{""daytime_recovery"": 70.0, ""sleep_recovery"": 60.5, ""stress"": 18.7}";2026-02-11;solid
73da4a26-1f8b-4b30-a6d0-200670ee895b;"{""daytime_recovery"": 67.3, ""sleep_recovery"": 63.5, ""stress"": 20.4}";2026-02-12;solid
778b1bde-566f-4284-b32b-f968ab7a9109;"{""daytime_recovery"": 65.1, ""sleep_recovery"": 61.8, ""stress"": 22.3}";2026-02-13;solid
3fd6143c-1edb-408c-9f61-9c94d50f76f5;"{""daytime_recovery"": 65.3, ""sleep_recovery"": 61.6, ""stress"": 21.7}";2026-02-14;solid
9bd46972-1f43-4a73-9d2d-c69c6bdf828f;"{""daytime_recovery"": 66.0, ""sleep_recovery"": 62.1, ""stress"": 21.3}";2026-02-15;solid
