timestamp,Infrared to Red Signal Ratio
04/11/26 00:24:00,0
04/11/26 00:25:00,0
04/11/26 00:26:00,0
04/11/26 00:27:00,0
04/11/26 00:28:00,0
04/11/26 00:29:00,0
04/11/26 00:30:00,3
04/11/26 00:31:00,0
04/11/26 00:32:00,-77
04/11/26 00:33:00,47
04/11/26 00:34:00,14
04/11/26 00:35:00,2
04/11/26 00:36:03,22
04/11/26 00:40:00,0
04/11/26 00:41:00,1
04/11/26 00:42:00,-39
04/11/26 00:43:00,4
04/11/26 00:44:00,-26
04/11/26 00:45:00,-21
04/11/26 00:46:00,0
04/11/26 00:47:00,0
04/11/26 00:48:00,0
04/11/26 00:49:00,-4
04/11/26 00:50:00,2
04/11/26 00:51:00,0
04/11/26 00:52:00,13
04/11/26 00:53:00,73
04/11/26 00:54:00,0
04/11/26 00:55:00,0
04/11/26 00:56:00,3
04/11/26 00:57:00,21
04/11/26 00:58:00,17
04/11/26 00:59:00,-1
04/11/26 01:00:00,0
04/11/26 01:01:00,-9
04/11/26 01:02:00,4
04/11/26 01:03:00,9
04/11/26 01:04:00,1
04/11/26 01:05:00,4
04/11/26 01:06:02,0
04/11/26 01:07:02,4
04/11/26 01:08:02,-26
04/11/26 01:09:02,31
04/11/26 01:10:02,-28
04/11/26 01:11:02,0
04/11/26 01:12:02,0
04/11/26 01:13:02,-4
04/11/26 01:14:02,0
04/11/26 01:15:02,47
04/11/26 01:16:02,0
04/11/26 01:17:02,-4
04/11/26 01:18:02,-7
04/11/26 01:19:02,-2
04/11/26 01:20:02,19
04/11/26 01:21:03,-22
04/11/26 01:22:03,2
04/11/26 01:23:03,-30
04/11/26 01:24:03,0
04/11/26 01:25:03,-73
04/11/26 01:26:03,-18
04/11/26 01:27:03,0
04/11/26 01:28:03,-73
04/11/26 01:29:03,-31
04/11/26 01:30:03,-3
04/11/26 01:31:03,22
04/11/26 01:32:03,13
04/11/26 01:33:03,9
04/11/26 01:34:03,-4
04/11/26 01:35:03,-1
04/11/26 01:36:07,-59
04/11/26 01:37:07,67
04/11/26 01:38:07,-30
04/11/26 01:39:07,-53
04/11/26 01:40:07,-82
04/11/26 01:41:07,0
04/11/26 01:42:07,-1
04/11/26 01:43:07,42
04/11/26 01:44:07,-16
04/11/26 01:45:07,0
04/11/26 01:46:07,0
04/11/26 01:47:07,0
04/11/26 01:48:07,-21
04/11/26 01:49:07,-50
04/11/26 01:50:07,0
04/11/26 01:51:09,0
04/11/26 01:52:09,0
04/11/26 01:53:09,0
04/11/26 01:54:09,-22
04/11/26 01:55:09,0
04/11/26 01:56:09,0
04/11/26 01:57:09,-1
04/11/26 01:58:09,-43
04/11/26 01:59:09,0
04/11/26 02:00:09,49
04/11/26 02:01:09,52
04/11/26 02:02:09,12
