name,objectives,schedule,status,update_time,meta,title,subtitle,rationale,domain,progress_start_time,progress_end_time,progress
daily-active-minutes,"MEASURE: active-minutes, TARGET: AT_LEAST(30)",DAILY,ENABLED,2026-03-25 18:48:04+0000,,,,,GOALS,,,
daily-azm,"MEASURE: active-zone-minutes, TARGET: AT_LEAST(22)",DAILY,ENABLED,1970-01-01 00:00:00+0000,,,,,GOALS,,,
daily-bedtime,"MEASURE: bedtime, TARGET: <UNKNOWN>",DAILY,DISABLED,2026-03-25 18:48:04+0000,,,,,GOALS,,,
daily-distance,"MEASURE: steps-distance, TARGET: AT_LEAST(8046720)",DAILY,ENABLED,2026-03-25 18:48:04+0000,,,,,GOALS,,,
daily-energy-burned,"MEASURE: energy-burned, TARGET: AT_LEAST(2654)",DAILY,ENABLED,2026-03-25 18:48:04+0000,,,,,GOALS,,,
daily-floors,"MEASURE: floors-count, TARGET: AT_LEAST(10)",DAILY,ENABLED,2026-03-25 18:48:04+0000,,,,,GOALS,,,
daily-sleep-duration,"MEASURE: sleep-duration, TARGET: AT_LEAST(28800)",DAILY,ENABLED,2026-03-25 18:48:04+0000,,,,,GOALS,,,
daily-steps,"MEASURE: steps-count, TARGET: AT_LEAST(10000)",DAILY,ENABLED,2026-03-25 18:48:04+0000,,,,,GOALS,,,
daily-wake-time,"MEASURE: wake-time, TARGET: <UNKNOWN>",DAILY,DISABLED,2026-03-25 18:48:04+0000,,,,,GOALS,,,
daily-water-consumed,"MEASURE: water-consumed-ml, TARGET: AT_LEAST(1893)",DAILY,ENABLED,2026-03-25 18:48:04+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 21)",2026-04-08 00:00:00 - 2026-04-09 00:00:00,ENABLED,2026-04-09 07:55:30+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 21)",2026-04-09 00:00:00 - 2026-04-10 00:00:00,ENABLED,2026-04-09 07:55:31+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 28)",2026-04-05 00:00:00 - 2026-04-06 00:00:00,ENABLED,2026-04-05 06:14:21+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(11, 34)",2026-04-07 00:00:00 - 2026-04-08 00:00:00,ENABLED,2026-04-07 05:21:16+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(13, 36)",2026-04-07 00:00:00 - 2026-04-08 00:00:00,ENABLED,2026-04-06 21:16:29+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(24, 34)",2026-04-02 00:00:00 - 2026-04-03 00:00:00,ENABLED,2026-04-02 02:35:00+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(26, 36)",2026-04-03 00:00:00 - 2026-04-04 00:00:00,ENABLED,2026-04-03 00:59:26+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(26, 44)",2026-04-06 00:00:00 - 2026-04-07 00:00:00,ENABLED,2026-04-06 05:22:49+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(27, 51)",2026-04-10 00:00:00 - 2026-04-11 00:00:00,ENABLED,2026-04-09 21:20:24+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(27, 51)",2026-04-10 00:00:00 - 2026-04-11 00:00:00,ENABLED,2026-04-10 02:22:39+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(31, 46)",2026-04-04 00:00:00 - 2026-04-05 00:00:00,ENABLED,2026-04-04 05:45:00+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(4, 17)",2026-04-12 00:00:00 - 2026-04-13 00:00:00,ENABLED,2026-04-11 21:34:24+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(4, 17)",2026-04-12 00:00:00 - 2026-04-13 00:00:00,ENABLED,2026-04-12 04:07:28+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(58, 79)",2026-04-13 00:00:00 - 2026-04-14 00:00:00,ENABLED,2026-04-13 07:08:58+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(8, 21)",2026-04-08 00:00:00 - 2026-04-09 00:00:00,ENABLED,2026-04-09 07:55:23+0000,,,,,GOALS,,,
