exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events,activity_type_probabilities,autodetected_confirmed,autodetected_start_timestamp,autodetected_end_timestamp,autodetected_utc_offset,autodetected_activity_name,autodetected_sensor_based_activity_name,deletion_reason,activity_label,suggested_start_timestamp,suggested_end_timestamp,reconciliation_status
1452639379250554584,2026-04-07 15:04:26+0000,2026-04-07 15:07:20+0000,+03:00,2026-04-07 19:33:09+0000,2026-04-07 19:33:09+0000,Workout,TRACKER,0,UNSPECIFIED,,METRIC,23,257,181250,0,117,131,0,136192,717,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2068898066773302288,2026-03-26 15:12:34+0000,2026-03-26 16:13:35+0000,+02:00,2026-03-26 15:15:15+0000,2026-03-26 16:15:55+0000,Workout,TRACKER,0,UNSPECIFIED,,METRIC,355,684,279906,0,90,113,0,9728,652,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2087166928930251800,2026-04-08 05:35:11+0000,2026-04-08 06:26:44+0000,+03:00,2026-04-09 07:55:18+0000,2026-04-09 07:55:18+0000,Workout,TRACKER,0,UNSPECIFIED,,METRIC,351,3548,2429203,0,97,129,0,100480,1113,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
251237696784859896,2026-03-30 05:13:50+0000,2026-03-30 06:21:31+0000,+03:00,2026-03-30 05:28:57+0000,2026-03-30 06:29:35+0000,Workout,TRACKER,0,UNSPECIFIED,,METRIC,346,2649,1784610,0,90,119,0,56192,936,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2701957210783317000,2026-03-27 05:31:56+0000,2026-03-27 06:21:58+0000,+02:00,2026-03-27 05:39:04+0000,2026-03-27 06:22:19+0000,Workout,TRACKER,0,UNSPECIFIED,,METRIC,399,3203,2254289,0,90,106,0,96256,912,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2814391202753558352,2026-04-11 08:33:26+0000,2026-04-11 09:26:09+0000,+03:00,2026-04-11 08:56:20+0000,2026-04-11 09:26:34+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,METRIC,207,2105,1415555,0,80,98,0,57216,587,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2991432015405824136,2026-04-11 11:42:41+0000,2026-04-11 12:11:42+0000,+03:00,2026-04-11 12:28:01+0000,2026-04-11 12:28:01+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
3202971247190874976,2026-03-28 08:17:18+0000,2026-03-28 08:17:27+0000,+02:00,2026-03-28 08:20:12+0000,2026-03-28 08:20:12+0000,Workout,TRACKER,0,UNSPECIFIED,,METRIC,0,0,0,0,84,85,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
3444976366136361232,2026-03-29 16:59:04+0000,2026-03-29 18:34:16+0000,+03:00,2026-03-29 17:11:02+0000,2026-03-29 18:42:00+0000,Workout,TRACKER,0,UNSPECIFIED,,METRIC,234,430,156289,0,81,130,0,3456,547,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
3466507826367433800,2026-04-07 05:24:40+0000,2026-04-07 06:17:25+0000,+03:00,2026-04-07 05:36:16+0000,2026-04-07 06:21:46+0000,Workout,TRACKER,0,UNSPECIFIED,,METRIC,358,3472,2444657,0,104,135,0,98816,1129,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
