value_time,setting_name,setting_value
2026-04-12 21:04:33+0000,activity state,sedentary
2026-04-12 21:04:33+0000,auto run enabled,true
2026-04-12 21:04:33+0000,auto stride enabled,true
2026-04-12 21:04:33+0000,body constitution,regular
2026-04-12 21:04:33+0000,is nursing,false
2026-04-12 21:04:33+0000,pregnant state,not pregnant
2026-04-12 21:04:33+0000,sleep proc algorithm,composite
2026-04-12 21:04:33+0000,stride length running,903
2026-04-12 21:04:33+0000,stride length walking,0
2026-04-13 07:08:52+0000,sedentary prune time,2026-04-13T00:00:00.0Z
2026-04-13 07:09:01+0000,hr scaling sleep rest,"[2026-04-13] Current: 0.87, [2026-04-12] Previous: 0.87"
