timestamp,rmssd,coverage,low_frequency,high_frequency
2026-04-07T02:45:00,15.749,0.934,114.65,44.108
2026-04-07T02:50:00,18.251,0.987,210.558,77.509
2026-04-07T02:55:00,17.908,0.94,133.737,70.202
2026-04-07T03:00:00,18.728,0.926,313.141,68.778
2026-04-07T03:05:00,18.394,1.003,107.711,81.694
2026-04-07T03:10:00,17.676,0.969,185.421,48.317
2026-04-07T03:15:00,16.227,0.999,120.905,51.762
2026-04-07T03:20:00,16.72,1.005,331.4,45.914
2026-04-07T03:25:00,17.186,0.997,158.271,49.692
2026-04-07T03:30:00,16.351,1.005,226.811,45.488
2026-04-07T03:35:00,13.702,0.945,966.354,25.301
2026-04-07T03:40:00,11.099,1.001,127.459,20.71
2026-04-07T03:50:00,14.282,0.798,124.554,34.367
2026-04-07T03:55:00,9.603,1.004,83.176,11.029
2026-04-07T04:00:00,11.029,0.983,55.465,26.649
2026-04-07T04:05:00,10.52,0.972,148.428,18.61
2026-04-07T04:10:00,10.39,0.991,153.324,18.296
2026-04-07T04:15:00,13.168,0.942,551.51,17.103
2026-04-07T04:20:00,12.107,0.936,416.082,12.58
2026-04-07T04:25:00,9.674,1.003,125.557,11.127
2026-04-07T04:30:00,8.965,0.996,58.476,11.698
2026-04-07T04:35:00,8.428,1.001,44.962,8.899
2026-04-07T04:40:00,9.371,0.999,77.608,12.747
2026-04-07T04:45:00,8.944,0.997,81.226,12.723
2026-04-07T04:50:00,8.353,1.003,61.762,10.05
2026-04-07T04:55:00,9.002,1.004,77.829,13.387
2026-04-07T05:00:00,7.858,0.983,202.51,9.365
2026-04-07T05:05:00,11.049,0.947,474.55,28.451
2026-04-07T05:10:00,12.234,0.729,342.612,17.512
2026-04-07T05:30:00,18.501,0.912,488.925,57.412
2026-04-07T05:35:00,21.126,0.99,120.746,92.778
2026-04-07T05:40:00,22.934,1.004,125.6,103.893
2026-04-07T05:45:00,22.271,0.983,140.543,109.05
2026-04-07T05:50:00,21.051,1.001,130.497,96.207
2026-04-07T05:55:00,20.702,1.004,105.07,103.23
2026-04-07T06:00:00,22.156,0.893,90.699,122.549
2026-04-07T06:05:00,12.3,0.934,216.729,15.042
2026-04-07T06:10:00,11.56,0.954,165.4,20.378
2026-04-07T06:15:00,12.774,0.99,298.329,14.736
2026-04-07T06:20:00,11.494,1.001,224.263,20.153
2026-04-07T06:25:00,13.363,0.929,453.584,19.768
2026-04-07T06:30:00,16.396,0.81,1052.439,32.454
2026-04-07T06:35:00,20.207,0.994,299.283,92.477
2026-04-07T06:40:00,17.571,0.985,379.026,66.237
2026-04-07T06:45:00,15.071,0.882,453.307,24.891
2026-04-07T06:50:00,8.8,0.991,150.627,11.349
2026-04-07T06:55:00,9.321,1.001,317.646,11.039
2026-04-07T07:00:00,12.033,0.969,766.735,15.243
2026-04-07T07:05:00,10.26,0.979,153.381,18.957
2026-04-07T07:10:00,17.62,0.936,633.498,46.863
2026-04-07T07:15:00,24.599,0.936,319.224,105.61
2026-04-07T07:20:00,24.079,0.997,100.228,161.079
2026-04-07T07:25:00,26.101,1.004,148.072,220.459
2026-04-07T07:30:00,27.184,1.005,92.22,205.725
2026-04-07T07:35:00,27.426,0.992,114.13,250.219
2026-04-07T07:40:00,25.838,1.0,39.347,209.797
