timestamp,score,type,readiness level,sleep readiness,heart rate variability readiness,resting heart rate readiness,data source
2026-03-31,51,MEDIUM,TYPE_UNSPECIFIED,HIGH,MEDIUM,LOW,Fitbit App
2026-04-01,75,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,HIGH,IGNORED,Fitbit App
2026-04-02,42,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,LOW,LOW,Fitbit App
2026-04-03,63,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2026-04-04,62,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,LOW,Fitbit App
2026-04-05,25,LOW,TYPE_UNSPECIFIED,VERY_HIGH,VERY_HIGH,VERY_LOW,Fitbit App
2026-04-06,65,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,IGNORED,Fitbit App
2026-04-07,90,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,VERY_HIGH,LOW,Fitbit App
2026-04-08,15,LOW,TYPE_UNSPECIFIED,VERY_HIGH,HIGH,VERY_LOW,Fitbit App
2026-04-09,15,LOW,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,VERY_LOW,Fitbit App
2026-04-10,72,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,HIGH,LOW,Fitbit App
2026-04-11,77,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,HIGH,HIGH,Fitbit App
2026-04-12,80,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,HIGH,VERY_HIGH,Fitbit App
2026-04-13,79,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,HIGH,VERY_HIGH,Fitbit App
