timestamp,distance,data source
2026-04-01T04:29:00Z,5.00,Charge 6
2026-04-01T04:52:00Z,15.00,Charge 6
2026-04-01T04:58:00Z,10.00,Charge 6
2026-04-01T04:59:00Z,5.70,Charge 6
2026-04-01T05:12:00Z,10.70,Charge 6
2026-04-01T05:13:00Z,10.70,Charge 6
2026-04-01T05:16:00Z,24.40,Charge 6
2026-04-01T05:19:00Z,22.90,Charge 6
2026-04-01T05:20:00Z,17.90,Charge 6
2026-04-01T05:21:00Z,35.10,Charge 6
2026-04-01T05:22:00Z,21.50,Charge 6
2026-04-01T05:23:00Z,4.30,Charge 6
2026-04-01T07:59:00Z,3.50,Charge 6
2026-04-01T08:06:00Z,12.90,Charge 6
2026-04-01T08:07:00Z,20.80,Charge 6
2026-04-01T08:08:00Z,16.50,Charge 6
2026-04-01T08:09:00Z,6.40,Charge 6
2026-04-01T08:10:00Z,18.60,Charge 6
2026-04-01T08:11:00Z,28.70,Charge 6
2026-04-01T08:14:00Z,6.40,Charge 6
2026-04-01T08:20:00Z,8.60,Charge 6
2026-04-01T08:21:00Z,15.00,Charge 6
2026-04-01T08:22:00Z,14.30,Charge 6
2026-04-01T08:33:00Z,17.20,Charge 6
2026-04-01T08:34:00Z,18.60,Charge 6
2026-04-01T08:35:00Z,19.30,Charge 6
2026-04-01T08:36:00Z,77.60,Charge 6
2026-04-01T08:37:00Z,68.80,Charge 6
2026-04-01T08:38:00Z,78.60,Charge 6
2026-04-01T08:39:00Z,73.70,Charge 6
2026-04-01T08:40:00Z,22.40,Charge 6
2026-04-01T08:41:00Z,68.40,Charge 6
2026-04-01T08:42:00Z,74.60,Charge 6
2026-04-01T08:43:00Z,60.60,Charge 6
2026-04-01T08:45:00Z,66.90,Charge 6
2026-04-01T08:46:00Z,63.80,Charge 6
2026-04-01T08:47:00Z,13.80,Charge 6
2026-04-01T08:48:00Z,10.40,Charge 6
2026-04-01T08:49:00Z,1.40,Charge 6
2026-04-01T08:50:00Z,1.40,Charge 6
2026-04-01T08:51:00Z,2.00,Charge 6
2026-04-01T09:30:00Z,4.30,Charge 6
2026-04-01T10:13:00Z,5.00,Charge 6
2026-04-01T10:25:00Z,5.70,Charge 6
2026-04-01T10:33:00Z,2.80,Charge 6
