timestamp,beats per minute,data source
2026-04-08T00:00:02Z,60.0,Charge 6
2026-04-08T00:00:03Z,60.0,Charge 6
2026-04-08T00:00:06Z,60.0,Charge 6
2026-04-08T00:00:09Z,60.0,Charge 6
2026-04-08T00:00:12Z,60.0,Charge 6
2026-04-08T00:00:15Z,60.0,Charge 6
2026-04-08T00:00:18Z,60.0,Charge 6
2026-04-08T00:00:21Z,60.0,Charge 6
2026-04-08T00:00:24Z,60.0,Charge 6
2026-04-08T00:00:27Z,60.0,Charge 6
2026-04-08T00:00:30Z,60.0,Charge 6
2026-04-08T00:00:33Z,60.0,Charge 6
2026-04-08T00:00:36Z,60.0,Charge 6
2026-04-08T00:00:37Z,60.0,Charge 6
2026-04-08T00:00:40Z,60.0,Charge 6
2026-04-08T00:00:43Z,60.0,Charge 6
2026-04-08T00:00:46Z,60.0,Charge 6
2026-04-08T00:00:49Z,60.0,Charge 6
2026-04-08T00:00:52Z,60.0,Charge 6
2026-04-08T00:00:53Z,60.0,Charge 6
2026-04-08T00:00:56Z,60.0,Charge 6
2026-04-08T00:00:59Z,60.0,Charge 6
2026-04-08T00:01:00Z,60.0,Charge 6
2026-04-08T00:01:02Z,60.0,Charge 6
2026-04-08T00:01:04Z,59.0,Charge 6
2026-04-08T00:01:06Z,59.0,Charge 6
2026-04-08T00:01:09Z,59.0,Charge 6
2026-04-08T00:01:12Z,59.0,Charge 6
2026-04-08T00:01:14Z,58.0,Charge 6
2026-04-08T00:01:17Z,58.0,Charge 6
2026-04-08T00:01:20Z,58.0,Charge 6
2026-04-08T00:01:21Z,59.0,Charge 6
2026-04-08T00:01:23Z,60.0,Charge 6
2026-04-08T00:01:26Z,60.0,Charge 6
2026-04-08T00:01:29Z,61.0,Charge 6
2026-04-08T00:01:32Z,61.0,Charge 6
2026-04-08T00:01:33Z,62.0,Charge 6
2026-04-08T00:01:35Z,62.0,Charge 6
2026-04-08T00:01:38Z,62.0,Charge 6
2026-04-08T00:01:39Z,63.0,Charge 6
2026-04-08T00:01:41Z,63.0,Charge 6
2026-04-08T00:01:43Z,64.0,Charge 6
2026-04-08T00:01:44Z,63.0,Charge 6
2026-04-08T00:01:47Z,63.0,Charge 6
2026-04-08T00:01:50Z,62.0,Charge 6
2026-04-08T00:01:53Z,62.0,Charge 6
2026-04-08T00:01:56Z,62.0,Charge 6
2026-04-08T00:01:59Z,62.0,Charge 6
2026-04-08T00:02:02Z,62.0,Charge 6
2026-04-08T00:02:05Z,62.0,Charge 6
2026-04-08T00:02:06Z,61.0,Charge 6
2026-04-08T00:02:09Z,60.0,Charge 6
2026-04-08T00:02:12Z,60.0,Charge 6
2026-04-08T00:02:15Z,60.0,Charge 6
2026-04-08T00:02:18Z,60.0,Charge 6
2026-04-08T00:02:21Z,60.0,Charge 6
2026-04-08T00:02:24Z,60.0,Charge 6
2026-04-08T00:02:27Z,60.0,Charge 6
2026-04-08T00:02:30Z,60.0,Charge 6
2026-04-08T00:02:31Z,61.0,Charge 6
2026-04-08T00:02:34Z,60.0,Charge 6
2026-04-08T00:02:36Z,61.0,Charge 6
2026-04-08T00:02:39Z,61.0,Charge 6
2026-04-08T00:02:40Z,62.0,Charge 6
2026-04-08T00:02:43Z,62.0,Charge 6
2026-04-08T00:02:44Z,63.0,Charge 6
2026-04-08T00:02:46Z,67.0,Charge 6
2026-04-08T00:02:48Z,69.0,Charge 6
2026-04-08T00:02:50Z,71.0,Charge 6
2026-04-08T00:02:52Z,72.0,Charge 6
2026-04-08T00:02:54Z,75.0,Charge 6
2026-04-08T00:02:55Z,72.0,Charge 6
2026-04-08T00:02:57Z,71.0,Charge 6
2026-04-08T00:02:59Z,75.0,Charge 6
2026-04-08T00:03:02Z,75.0,Charge 6
2026-04-08T00:03:03Z,75.0,Charge 6
2026-04-08T00:03:05Z,76.0,Charge 6
2026-04-08T00:03:07Z,74.0,Charge 6
2026-04-08T00:03:09Z,73.0,Charge 6
2026-04-08T00:03:11Z,72.0,Charge 6
2026-04-08T00:03:13Z,70.0,Charge 6
2026-04-08T00:03:15Z,69.0,Charge 6
2026-04-08T00:03:17Z,68.0,Charge 6
2026-04-08T00:03:19Z,66.0,Charge 6
2026-04-08T00:03:20Z,65.0,Charge 6
2026-04-08T00:03:22Z,64.0,Charge 6
2026-04-08T00:03:24Z,64.0,Charge 6
2026-04-08T00:03:26Z,62.0,Charge 6
2026-04-08T00:03:29Z,62.0,Charge 6
2026-04-08T00:03:32Z,61.0,Charge 6
2026-04-08T00:03:34Z,60.0,Charge 6
2026-04-08T00:03:37Z,60.0,Charge 6
2026-04-08T00:03:40Z,60.0,Charge 6
2026-04-08T00:03:43Z,59.0,Charge 6
2026-04-08T00:03:45Z,59.0,Charge 6
2026-04-08T00:03:47Z,58.0,Charge 6
2026-04-08T00:03:50Z,58.0,Charge 6
2026-04-08T00:03:53Z,58.0,Charge 6
2026-04-08T00:03:56Z,58.0,Charge 6
2026-04-08T00:03:59Z,57.0,Charge 6
2026-04-08T00:04:02Z,57.0,Charge 6
2026-04-08T00:04:05Z,57.0,Charge 6
2026-04-08T00:04:08Z,57.0,Charge 6
2026-04-08T00:04:10Z,58.0,Charge 6
2026-04-08T00:04:13Z,58.0,Charge 6
2026-04-08T00:04:16Z,58.0,Charge 6
2026-04-08T00:04:19Z,58.0,Charge 6
2026-04-08T00:04:22Z,58.0,Charge 6
2026-04-08T00:04:25Z,58.0,Charge 6
2026-04-08T00:04:28Z,58.0,Charge 6
2026-04-08T00:04:31Z,58.0,Charge 6
2026-04-08T00:04:34Z,58.0,Charge 6
2026-04-08T00:04:37Z,58.0,Charge 6
2026-04-08T00:04:40Z,58.0,Charge 6
2026-04-08T00:04:43Z,58.0,Charge 6
2026-04-08T00:04:46Z,58.0,Charge 6
2026-04-08T00:04:49Z,58.0,Charge 6
2026-04-08T00:04:52Z,58.0,Charge 6
2026-04-08T00:04:55Z,58.0,Charge 6
