timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-04-01T00:00:00Z,14.4,0.0,Fitbit App
2026-04-01T00:05:00Z,9.5,0.0,Fitbit App
2026-04-01T00:10:00Z,12.1,0.0,Fitbit App
2026-04-01T00:15:00Z,15.6,0.0,Fitbit App
2026-04-01T00:20:00Z,14.1,0.0,Fitbit App
2026-04-01T00:25:00Z,16.7,0.0,Fitbit App
2026-04-01T00:30:00Z,19.1,0.0,Fitbit App
2026-04-01T00:35:00Z,15.4,0.0,Fitbit App
2026-04-01T00:40:00Z,15.8,0.0,Fitbit App
2026-04-01T00:45:00Z,17.3,0.0,Fitbit App
2026-04-01T00:50:00Z,18.6,0.0,Fitbit App
2026-04-01T00:55:00Z,17.5,0.0,Fitbit App
2026-04-01T01:00:00Z,16.3,0.0,Fitbit App
2026-04-01T01:05:00Z,12.9,0.0,Fitbit App
2026-04-01T01:10:00Z,8.8,0.0,Fitbit App
2026-04-01T01:15:00Z,10.9,0.0,Fitbit App
2026-04-01T01:20:00Z,10.5,0.0,Fitbit App
2026-04-01T01:25:00Z,15.6,0.0,Fitbit App
2026-04-01T01:30:00Z,14.7,0.0,Fitbit App
2026-04-01T01:35:00Z,14.0,0.0,Fitbit App
2026-04-01T01:40:00Z,14.4,0.0,Fitbit App
2026-04-01T01:45:00Z,13.9,0.0,Fitbit App
2026-04-01T01:50:00Z,8.7,0.0,Fitbit App
2026-04-01T01:55:00Z,11.6,0.0,Fitbit App
2026-04-01T02:00:00Z,10.2,0.0,Fitbit App
2026-04-01T02:05:00Z,10.5,0.0,Fitbit App
2026-04-01T02:10:00Z,9.6,0.0,Fitbit App
2026-04-01T02:15:00Z,10.2,0.0,Fitbit App
2026-04-01T02:20:00Z,9.1,0.0,Fitbit App
2026-04-01T02:25:00Z,7.7,0.0,Fitbit App
2026-04-01T02:30:00Z,7.0,0.0,Fitbit App
2026-04-01T02:35:00Z,7.2,0.0,Fitbit App
2026-04-01T02:40:00Z,7.5,0.0,Fitbit App
2026-04-01T02:45:00Z,8.1,0.0,Fitbit App
2026-04-01T02:50:00Z,7.8,0.0,Fitbit App
2026-04-01T02:55:00Z,8.0,0.0,Fitbit App
2026-04-01T03:00:00Z,8.0,0.0,Fitbit App
2026-04-01T03:05:00Z,10.9,0.0,Fitbit App
2026-04-01T03:10:00Z,11.3,0.0,Fitbit App
2026-04-01T03:15:00Z,10.5,0.0,Fitbit App
2026-04-01T03:20:00Z,10.9,0.0,Fitbit App
2026-04-01T03:25:00Z,9.2,0.0,Fitbit App
2026-04-01T03:30:00Z,9.8,0.0,Fitbit App
2026-04-01T03:35:00Z,9.3,0.0,Fitbit App
2026-04-01T03:40:00Z,10.2,0.0,Fitbit App
2026-04-01T03:45:00Z,10.5,0.0,Fitbit App
2026-04-01T03:50:00Z,9.3,0.0,Fitbit App
2026-04-01T03:55:00Z,10.7,0.0,Fitbit App
2026-04-01T04:00:00Z,16.6,0.0,Fitbit App
2026-04-01T04:05:00Z,15.1,0.0,Fitbit App
2026-04-01T04:10:00Z,13.4,0.0,Fitbit App
2026-04-01T04:15:00Z,14.2,0.0,Fitbit App
2026-04-01T04:20:00Z,12.2,0.0,Fitbit App
2026-04-01T04:25:00Z,12.8,0.0,Fitbit App
2026-04-01T04:30:00Z,16.4,0.0,Fitbit App
2026-04-01T04:35:00Z,13.5,0.0,Fitbit App
2026-04-01T04:40:00Z,14.6,0.0,Fitbit App
2026-04-01T21:15:00Z,12.6,0.0,Fitbit App
2026-04-01T21:20:00Z,12.8,0.0,Fitbit App
2026-04-01T21:25:00Z,15.2,0.0,Fitbit App
2026-04-01T21:30:00Z,16.4,0.0,Fitbit App
2026-04-01T21:35:00Z,13.9,0.0,Fitbit App
2026-04-01T21:40:00Z,13.4,0.0,Fitbit App
2026-04-01T21:45:00Z,12.9,0.0,Fitbit App
2026-04-01T21:50:00Z,12.9,0.0,Fitbit App
2026-04-01T21:55:00Z,11.1,0.0,Fitbit App
