timestamp,deep sleep stats - milli breaths per minute,deep sleep stats - standard deviation milli breaths per minute,deep sleep stats - signal to noise,light sleep stats - milli breaths per minute,light sleep stats - standard deviation milli breaths per minute,light sleep stats - signal to noise,rem sleep stats - milli breaths per minute,rem sleep stats - standard deviation milli breaths per minute,rem sleep stats - signal to noise,full sleep stats - milli breaths per minute,full sleep stats - standard deviation milli breaths per minute,full sleep stats - signal to noise,data source
2026-04-01T04:49:30Z,12.0,0.9,6.9,12.0,0.6,6.1,0.0,0.0,0.0,12.0,0.9,6.9,Fitbit App
2026-04-02T02:17:00Z,12.6,0.7,4.9,12.0,1.1,3.5,12.8,0.6,5.3,12.6,0.7,4.9,Fitbit App
2026-04-02T05:30:00Z,12.6,0.7,5.5,9.0,0.6,5.6,9.6,1.3,3.2,12.6,0.7,5.5,Fitbit App
2026-04-03T00:43:30Z,12.4,0.8,4.6,12.2,0.7,5.4,8.4,0.6,3.1,12.4,0.8,4.6,Fitbit App
2026-04-04T05:21:00Z,12.4,0.8,5.2,12.0,1.0,2.5,14.4,0.8,3.7,12.4,0.8,5.2,Fitbit App
2026-04-05T06:02:00Z,12.4,0.5,4.2,12.2,0.8,5.2,17.4,0.6,4.4,12.4,0.5,4.2,Fitbit App
2026-04-06T05:03:30Z,13.2,0.6,3.1,11.8,0.7,3.4,11.8,1.1,2.9,13.2,0.6,3.1,Fitbit App
2026-04-06T07:29:30Z,13.2,0.6,3.1,8.6,0.8,4.9,11.8,1.1,3.0,8.6,0.8,4.9,Fitbit App
2026-04-07T04:56:00Z,0.0,0.0,0.0,11.8,1.1,8.3,12.0,0.5,2.8,11.8,1.1,8.3,Fitbit App
2026-04-08T04:43:30Z,12.0,0.9,5.8,11.4,0.9,5.1,12.6,0.4,3.9,12.0,0.9,5.8,Fitbit App
2026-04-09T04:43:00Z,13.2,1.0,3.1,13.2,0.9,3.8,8.6,0.6,5.4,13.2,1.0,3.1,Fitbit App
2026-04-10T01:59:30Z,8.8,0.5,4.2,8.8,0.6,4.9,9.0,0.6,6.0,8.8,0.5,4.2,Fitbit App
2026-04-11T04:59:00Z,12.8,0.7,3.6,11.0,2.7,6.0,11.8,0.5,3.0,11.0,2.7,6.0,Fitbit App
2026-04-12T03:52:00Z,0.0,0.0,0.0,12.0,0.8,6.2,0.0,0.0,0.0,12.0,0.8,6.2,Fitbit App
2026-04-12T06:52:30Z,12.2,1.2,3.7,12.0,1.0,7.1,13.4,0.9,2.9,12.0,1.0,7.1,Fitbit App
2026-04-13T02:22:00Z,9.2,1.0,4.7,12.2,0.8,5.4,9.0,1.3,3.3,9.2,1.0,4.7,Fitbit App
