start time,end time,data source
2026-04-04T05:21:30Z,2026-04-04T05:56:30Z,Fitbit App
2026-04-04T07:14:00Z,2026-04-04T08:06:00Z,Fitbit App
2026-04-04T08:42:00Z,2026-04-04T08:53:00Z,Fitbit App
2026-04-04T09:15:00Z,2026-04-04T09:48:00Z,Fitbit App
2026-04-04T10:27:00Z,2026-04-04T11:53:00Z,Fitbit App
2026-04-04T12:49:00Z,2026-04-04T14:02:00Z,Fitbit App
2026-04-04T14:20:00Z,2026-04-04T14:39:00Z,Fitbit App
2026-04-04T15:08:00Z,2026-04-04T15:35:00Z,Fitbit App
2026-04-04T15:36:00Z,2026-04-04T16:08:00Z,Fitbit App
2026-04-04T16:22:00Z,2026-04-04T17:25:00Z,Fitbit App
2026-04-04T17:31:00Z,2026-04-04T17:59:00Z,Fitbit App
2026-04-04T18:02:00Z,2026-04-04T18:48:00Z,Fitbit App
2026-04-04T19:06:00Z,2026-04-04T19:41:00Z,Fitbit App
2026-04-04T20:07:00Z,2026-04-04T20:17:00Z,Fitbit App
2026-04-04T20:21:00Z,2026-04-04T21:00:00Z,Fitbit App
2026-04-04T23:12:00Z,2026-04-04T23:26:00Z,Fitbit App
2026-04-04T23:40:00Z,2026-04-05T01:35:00Z,Fitbit App
