timestamp,steps,data source
2026-03-25T20:10:00Z,21,Charge 6
2026-03-26T00:21:00Z,8,Charge 6
2026-03-26T01:22:00Z,8,Charge 6
2026-03-26T02:19:00Z,19,Charge 6
2026-03-26T02:23:00Z,14,Charge 6
2026-03-26T02:24:00Z,3,Charge 6
2026-03-26T02:55:00Z,5,Charge 6
2026-03-26T05:58:00Z,34,Charge 6
2026-03-26T05:59:00Z,11,Charge 6
2026-03-26T06:14:00Z,19,Charge 6
2026-03-26T06:15:00Z,8,Charge 6
2026-03-26T06:16:00Z,19,Charge 6
2026-03-26T06:17:00Z,22,Charge 6
2026-03-26T06:18:00Z,88,Charge 6
2026-03-26T06:19:00Z,100,Charge 6
2026-03-26T06:20:00Z,100,Charge 6
2026-03-26T06:21:00Z,106,Charge 6
2026-03-26T06:22:00Z,110,Charge 6
2026-03-26T06:23:00Z,97,Charge 6
2026-03-26T06:24:00Z,106,Charge 6
2026-03-26T06:25:00Z,110,Charge 6
2026-03-26T06:26:00Z,111,Charge 6
2026-03-26T06:27:00Z,110,Charge 6
2026-03-26T06:28:00Z,111,Charge 6
2026-03-26T06:29:00Z,105,Charge 6
2026-03-26T06:30:00Z,102,Charge 6
2026-03-26T06:31:00Z,95,Charge 6
2026-03-26T06:32:00Z,108,Charge 6
2026-03-26T06:33:00Z,109,Charge 6
2026-03-26T06:34:00Z,100,Charge 6
2026-03-26T06:35:00Z,103,Charge 6
2026-03-26T06:36:00Z,94,Charge 6
2026-03-26T06:37:00Z,102,Charge 6
2026-03-26T06:38:00Z,96,Charge 6
2026-03-26T06:39:00Z,110,Charge 6
2026-03-26T06:40:00Z,92,Charge 6
2026-03-26T06:41:00Z,96,Charge 6
2026-03-26T06:42:00Z,100,Charge 6
2026-03-26T06:43:00Z,99,Charge 6
2026-03-26T06:44:00Z,108,Charge 6
2026-03-26T06:45:00Z,97,Charge 6
2026-03-26T06:46:00Z,34,Charge 6
2026-03-26T06:47:00Z,15,Charge 6
2026-03-26T06:48:00Z,28,Charge 6
2026-03-26T06:50:00Z,8,Charge 6
2026-03-26T07:01:00Z,9,Charge 6
2026-03-26T07:03:00Z,4,Charge 6
2026-03-26T07:07:00Z,7,Charge 6
2026-03-26T07:10:00Z,22,Charge 6
2026-03-26T07:17:00Z,23,Charge 6
2026-03-26T07:18:00Z,6,Charge 6
2026-03-26T07:19:00Z,9,Charge 6
2026-03-26T07:20:00Z,8,Charge 6
2026-03-26T07:22:00Z,18,Charge 6
2026-03-26T07:23:00Z,21,Charge 6
2026-03-26T07:24:00Z,15,Charge 6
2026-03-26T07:25:00Z,22,Charge 6
2026-03-26T07:29:00Z,7,Charge 6
2026-03-26T07:30:00Z,27,Charge 6
2026-03-26T07:40:00Z,4,Charge 6
2026-03-26T07:41:00Z,47,Charge 6
2026-03-26T07:42:00Z,65,Charge 6
2026-03-26T07:43:00Z,29,Charge 6
2026-03-26T07:44:00Z,28,Charge 6
2026-03-26T07:45:00Z,8,Charge 6
2026-03-26T07:46:00Z,18,Charge 6
2026-03-26T07:47:00Z,7,Charge 6
2026-03-26T07:48:00Z,7,Charge 6
2026-03-26T07:49:00Z,17,Charge 6
2026-03-26T07:50:00Z,37,Charge 6
2026-03-26T07:53:00Z,19,Charge 6
2026-03-26T07:54:00Z,28,Charge 6
2026-03-26T07:56:00Z,34,Charge 6
2026-03-26T08:03:00Z,16,Charge 6
2026-03-26T08:04:00Z,19,Charge 6
2026-03-26T08:28:00Z,16,Charge 6
2026-03-26T08:29:00Z,20,Charge 6
2026-03-26T08:32:00Z,15,Charge 6
2026-03-26T08:43:00Z,6,Charge 6
2026-03-26T08:44:00Z,6,Charge 6
2026-03-26T08:53:00Z,24,Charge 6
2026-03-26T08:54:00Z,4,Charge 6
2026-03-26T08:55:00Z,12,Charge 6
2026-03-26T08:57:00Z,4,Charge 6
2026-03-26T08:58:00Z,10,Charge 6
2026-03-26T09:00:00Z,29,Charge 6
2026-03-26T09:01:00Z,7,Charge 6
2026-03-26T09:03:00Z,7,Charge 6
2026-03-26T09:09:00Z,4,Charge 6
2026-03-26T09:11:00Z,49,Charge 6
2026-03-26T09:13:00Z,42,Charge 6
2026-03-26T09:19:00Z,31,Charge 6
2026-03-26T09:20:00Z,72,Charge 6
2026-03-26T09:21:00Z,10,Charge 6
2026-03-26T09:23:00Z,39,Charge 6
2026-03-26T09:24:00Z,66,Charge 6
2026-03-26T09:25:00Z,14,Charge 6
2026-03-26T09:26:00Z,7,Charge 6
2026-03-26T09:30:00Z,44,Charge 6
2026-03-26T09:31:00Z,8,Charge 6
2026-03-26T09:32:00Z,12,Charge 6
2026-03-26T09:37:00Z,6,Charge 6
2026-03-26T09:43:00Z,10,Charge 6
2026-03-26T09:59:00Z,10,Charge 6
2026-03-26T10:00:00Z,18,Charge 6
2026-03-26T10:01:00Z,4,Charge 6
2026-03-26T10:03:00Z,24,Charge 6
2026-03-26T10:18:00Z,10,Charge 6
2026-03-26T10:19:00Z,15,Charge 6
2026-03-26T10:21:00Z,11,Charge 6
2026-03-26T10:22:00Z,43,Charge 6
2026-03-26T10:23:00Z,11,Charge 6
2026-03-26T10:25:00Z,56,Charge 6
2026-03-26T10:26:00Z,92,Charge 6
2026-03-26T10:27:00Z,2,Charge 6
2026-03-26T10:46:00Z,11,Charge 6
2026-03-26T10:47:00Z,14,Charge 6
2026-03-26T10:48:00Z,15,Charge 6
2026-03-26T11:03:00Z,72,Charge 6
2026-03-26T11:04:00Z,81,Charge 6
2026-03-26T11:05:00Z,53,Charge 6
2026-03-26T11:06:00Z,28,Charge 6
2026-03-26T11:07:00Z,15,Charge 6
2026-03-26T11:12:00Z,8,Charge 6
2026-03-26T11:17:00Z,10,Charge 6
2026-03-26T11:18:00Z,30,Charge 6
2026-03-26T11:23:00Z,9,Charge 6
2026-03-26T11:48:00Z,25,Charge 6
2026-03-26T11:49:00Z,27,Charge 6
2026-03-26T11:54:00Z,18,Charge 6
2026-03-26T12:02:00Z,25,Charge 6
2026-03-26T12:03:00Z,37,Charge 6
2026-03-26T12:04:00Z,25,Charge 6
2026-03-26T12:05:00Z,8,Charge 6
2026-03-26T12:17:00Z,17,Charge 6
2026-03-26T12:23:00Z,13,Charge 6
