DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2026-03-26T00:00:00,2026-03-26T06:30:00.594,0,0,0,0,0,0,0,NO_DATA,true
2026-03-27T00:00:00,2026-03-27T17:59:34.861,68,20,30,17,30,31,40,READY,false
2026-03-28T00:00:00,2026-03-28T06:43:01.142,76,25,30,18,30,33,40,READY,false
2026-03-29T00:00:00,2026-03-29T06:20:59.428,71,22,30,17,30,32,40,READY,false
2026-03-30T00:00:00,2026-03-30T05:13:57.454,89,30,30,28,30,31,40,READY,false
2026-03-31T00:00:00,2026-03-31T03:53:12.775,87,30,30,23,30,34,40,READY,false
2026-04-01T00:00:00,2026-04-01T05:16:55.053,85,25,30,25,30,35,40,READY,false
2026-04-02T00:00:00,2026-04-02T06:05:19.386,83,25,30,26,30,32,40,READY,false
2026-04-03T00:00:00,2026-04-03T05:14:29.84,82,25,30,24,30,33,40,READY,false
2026-04-04T00:00:00,2026-04-04T05:57:31.237,78,24,30,17,30,37,40,READY,false
2026-04-05T00:00:00,2026-04-05T06:14:19.87,83,22,30,25,30,36,40,READY,false
2026-04-06T00:00:00,2026-04-06T08:08:10.22,75,21,30,23,30,31,40,READY,false
2026-04-07T00:00:00,2026-04-07T05:21:13.067,77,27,30,16,30,34,40,READY,false
2026-04-08T00:00:00,2026-04-09T07:55:23.386,88,25,30,26,30,37,40,READY,false
2026-04-09T00:00:00,2026-04-09T07:55:26.407,89,30,30,22,30,37,40,READY,false
2026-04-10T00:00:00,2026-04-10T05:07:57.617,90,25,30,28,30,37,40,READY,false
2026-04-11T00:00:00,2026-04-11T05:24:09.157,83,23,30,24,30,36,40,READY,false
2026-04-12T00:00:00,2026-04-12T07:08:48.561,87,25,30,27,30,35,40,READY,false
2026-04-13T00:00:00,2026-04-13T07:08:56.874,83,19,30,29,30,35,40,READY,false
